algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.053348588778183326
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.3224512903382391
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.5390859901883873
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.5715390498321242
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.05338485745289532
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.3234340879161832
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.5439690916977096
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.5714024167049262
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.05339485273968848
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.3234476755747842
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.5439749244869102
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.5713346625056077
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.053446344524459365
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.3235431493303645
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.5440802278624118
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.5710134487748566
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.05349859097037257
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.32374971227516364
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.5444493377239752
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.570174488441809
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.05354531803185251
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.324025106047154
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.5453504840823574
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.5694562538439336
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.05370470937051286
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.3241613545224081
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.5461607328801765
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.5687582111214082
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.05397875001370119
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.324320879349734
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.5470036296390247
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.5673933881606882
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.05457260037486436
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.32442808131769363
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.5471564173990927
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.5646999030876424
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.05688803941556234
POPULARITY,LIN,KL,FIXED,0.9,MAP,0.3252840685779425
POPULARITY,LIN,KL,FIXED,0.9,MRR,0.5478013124950089
POPULARITY,LIN,KL,FIXED,0.9,MRMC,0.5526421869863946
POPULARITY,LIN,KL,FIXED,1.0,MACE,0.11306023642760843
POPULARITY,LIN,KL,FIXED,1.0,MAP,0.215782032190733
POPULARITY,LIN,KL,FIXED,1.0,MRR,0.4471626807968921
POPULARITY,LIN,KL,FIXED,1.0,MRMC,0.2592345696135599
POPULARITY,LIN,KL,FIXED,CGR,MACE,0.07020157070358313
POPULARITY,LIN,KL,FIXED,CGR,MAP,0.2959696405279418
POPULARITY,LIN,KL,FIXED,CGR,MRR,0.5201434396388525
POPULARITY,LIN,KL,FIXED,CGR,MRMC,0.5046476652545516
POPULARITY,LIN,KL,FIXED,VAR,MACE,0.06890932009251038
POPULARITY,LIN,KL,FIXED,VAR,MAP,0.32681368818613565
POPULARITY,LIN,KL,FIXED,VAR,MRR,0.5560288335517692
POPULARITY,LIN,KL,FIXED,VAR,MRMC,0.4870677120925402
POPULARITY,LIN,HE,FIXED,0.0,MACE,0.053348588778183326
POPULARITY,LIN,HE,FIXED,0.0,MAP,0.3224512903382391
POPULARITY,LIN,HE,FIXED,0.0,MRR,0.5390859901883873
POPULARITY,LIN,HE,FIXED,0.0,MRMC,0.7536007164016262
POPULARITY,LIN,HE,FIXED,0.1,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.1,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.1,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.1,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.2,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.2,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.2,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.2,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.3,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.3,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.3,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.3,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.4,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.4,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.4,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.4,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.5,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.5,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.5,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.5,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.6,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.6,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.6,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.6,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.7,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.7,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.7,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.7,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.8,MACE,0.0533811438843401
POPULARITY,LIN,HE,FIXED,0.8,MAP,0.32344962505734925
POPULARITY,LIN,HE,FIXED,0.8,MRR,0.5440677402130495
POPULARITY,LIN,HE,FIXED,0.8,MRMC,0.7535048438741514
POPULARITY,LIN,HE,FIXED,0.9,MACE,0.053389847423629615
POPULARITY,LIN,HE,FIXED,0.9,MAP,0.3234765811556282
POPULARITY,LIN,HE,FIXED,0.9,MRR,0.5440859040666676
